City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,76,100,0.0,RU,1749265556
251,cedeira,43.6797,-8.0209,14.99,86,42,6.05,ES,1749265557
252,barabinsk,55.3571,78.357,20.04,70,17,1.19,RU,1749265558
253,tadine,-21.55,167.8833,23.08,53,0,4.25,NC,1749265559
254,diego de almagro,-26.3667,-70.05,11.81,70,3,0.25,CL,1749265560
255,vila franca do campo,37.7167,-25.4333,18.27,99,5,1.92,PT,1749265561
256,sundsvall,62.3913,17.3063,8.98,100,100,2.06,SE,1749265563
257,iskateley,67.6803,53.1512,13.5,74,90,4.71,RU,1749265564
258,tacuarembo,-31.7333,-55.9833,7.07,82,2,1.45,UY,1749265565
259,kasempa,-13.4584,25.8338,10.81,86,0,2.89,ZM,1749265566
260,yuanping,38.7153,112.7575,27.6,30,100,3.13,CN,1749265567
261,sarpol-e zahab,34.4611,45.8626,23.88,25,0,1.78,IR,1749265568
262,anadyr,64.75,177.4833,9.28,43,0,6.0,RU,1749265569
263,saguenay,48.4168,-71.0657,20.06,53,75,3.6,CA,1749265570
264,figuig (centre),32.1089,-1.2286,25.28,20,18,2.21,MA,1749265571
265,bredasdorp,-34.5322,20.0403,13.3,69,100,4.83,ZA,1749265573
266,kimbe,-5.5502,150.1429,23.96,96,100,2.15,PG,1749265575
267,shizunai-furukawacho,42.3339,142.3669,15.85,78,88,2.61,JP,1749265576
268,sapucaia,-29.8333,-51.15,11.64,93,0,0.51,BR,1749265577
269,mangaldai,26.4333,92.0333,30.75,62,0,0.48,IN,1749265578
270,bubaque,11.2833,-15.8333,26.88,86,10,4.96,GW,1749265579
271,hobyo,5.3505,48.5268,25.47,81,85,9.28,SO,1749265580
272,misratah,32.3754,15.0925,21.99,67,6,3.26,LY,1749265581
273,mccook,40.2019,-100.6257,18.13,77,40,2.57,US,1749265582
274,lhasa,29.65,91.1,7.97,91,100,2.63,CN,1749265583
275,saint-philippe,-21.3585,55.7679,21.91,80,58,5.93,RE,1749265584
276,margate,51.3813,1.3862,11.5,87,100,3.94,GB,1749265585
277,bardai,11.65,7.2333,23.44,72,90,4.47,NG,1749265587
278,wagar,16.1525,36.2032,30.32,15,29,3.29,SD,1749265588
279,partille,57.7395,12.1064,11.68,87,100,7.72,SE,1749265589
280,imbituba,-28.24,-48.6703,17.57,81,100,2.28,BR,1749265590
281,northam,51.0333,-4.2167,11.25,92,100,4.15,GB,1749265591
282,sao francisco do sul,-26.2433,-48.6381,17.95,94,75,0.0,BR,1749265592
283,kushiro,42.975,144.3747,18.53,63,75,7.72,JP,1749265593
284,grand falls-windsor,48.9332,-55.6649,15.28,88,100,0.69,CA,1749265594
285,tara,56.8944,74.371,13.85,57,87,3.38,RU,1749265595
286,al fuwayliq,26.4432,43.2534,25.18,18,0,2.12,SA,1749265596
287,malpe,13.35,74.7167,28.46,81,77,2.95,IN,1749265598
288,palafrugell,41.9174,3.1631,16.54,86,0,0.45,ES,1749265600
289,shenjiamen,29.9576,122.298,28.44,78,50,4.57,CN,1749265601
290,grande prairie,55.1667,-118.8027,14.1,44,100,4.12,CA,1749265602
291,ta`u,-14.2336,-169.5144,27.37,76,54,3.85,AS,1749265603
292,saldanha,-33.0117,17.9442,14.57,93,100,8.51,ZA,1749265604
293,kodiak,57.79,-152.4072,6.73,87,100,6.69,US,1749265605
294,soio,-6.1349,12.3689,24.12,87,27,3.53,AO,1749265606
295,port alfred,-33.5906,26.891,17.96,45,50,4.2,ZA,1749265607
296,hays,30.0502,-98.0336,28.82,76,0,3.58,US,1749265609
297,kindu,-2.95,25.95,20.21,99,43,0.91,CD,1749265610
